"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-02-20",,,"0.00","0.0","0.0",,"62","20","58"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-02-21",,,"0.00","0.0","0.0",,"62","23","60"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-02-22",,,"0.00","0.0","0.0",,"67","30","62"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-02-23",,,"0.00","0.0","0.0",,"68","28","62"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-02-24",,,"0.00","0.0","0.0",,"67","22","62"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-02-25",,,"0.00","0.0","0.0",,"69","29","58"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-02-26",,,"0.00","0.0","0.0",,"73","29","65"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-02-27",,,"0.00","0.0","0.0",,"68","29","63"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-02-28",,,"0.38","0.0","0.0",,"68","30","51"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-04-01",,,"0.00","0.0","0.0",,"74",,"65"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-04-02",,,"0.00","0.0","0.0",,"76",,"69"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-04-03",,,"0.00","0.0","0.0",,"77",,"68"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-04-04",,,"0.00","0.0","0.0",,"76",,"65"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-04-05",,,"0.00","0.0","0.0",,"77",,"62"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-04-06",,,"0.00","0.0","0.0",,"68",,"59"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-04-07",,,"0.00","0.0","0.0",,"64",,"53"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-04-08",,,"0.00","0.0","0.0",,"69",,"59"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-04-09",,,"0.00","0.0","0.0",,"72",,"63"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-04-10",,,"0.00","0.0","0.0",,"68",,"53"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-04-11",,,"0.00","0.0","0.0",,"69",,"60"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-04-12",,,"0.30","0.0","0.0",,"67",,"48"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-04-13",,,"0.05","0.0","0.0",,"52",,"48"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-04-14",,,"0.00","0.0","0.0",,"58",,"49"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-04-15",,,"0.00","0.0","0.0",,"57",,"55"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-04-16",,,"0.00","0.0","0.0",,"67",,"60"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-04-17",,,"0.07","0.0","0.0",,"61",,"52"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-04-18",,,"0.00","0.0","0.0",,"63",,"50"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-04-19",,,"0.15","0.0","0.0",,"61",,"41"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-04-20",,,"0.00","0.0","0.0",,"54",,"48"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-04-21",,,"0.00","0.0","0.0",,"60",,"49"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-04-22",,,"0.01","0.0","0.0",,"62",,"52"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-04-23",,,"0.00","0.0","0.0",,"67",,"55"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-04-24",,,"0.00","0.0","0.0",,"62",,"45"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-04-25",,,"0.13","0.0","0.0",,"59",,"41"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-04-26",,,"0.01","0.0","0.0",,"59",,"46"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-04-27",,,"0.00","0.0","0.0",,"60",,"45"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-04-28",,,"0.00","0.0","0.0",,"68",,"59"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-04-29",,,"0.00","0.0","0.0",,"70",,"55"
"USC00044698","LAKE PILLSBURY 2, CA US","1970-04-30",,,"0.00","0.0","0.0",,"76",,"64"
"USC00044701","LAKEPORT, CA US","1970-01-01",,,"0.00","0.0","0.0",,"60","27","53"
"USC00044701","LAKEPORT, CA US","1970-01-02",,,"0.00","0.0","0.0",,"54","24","52"
"USC00044701","LAKEPORT, CA US","1970-01-03",,,"0.00","0.0","0.0",,"54","21","51"
"USC00044701","LAKEPORT, CA US","1970-01-04",,,"0.00","0.0","0.0",,"51","22","39"
"USC00044701","LAKEPORT, CA US","1970-01-05",,,"0.00","0.0","0.0",,"47","22","46"
"USC00044701","LAKEPORT, CA US","1970-01-06",,,"0.00","0.0","0.0",,"49","24","47"
"USC00044701","LAKEPORT, CA US","1970-01-07",,,"0.07","0.0","0.0",,"49","39","46"
"USC00044701","LAKEPORT, CA US","1970-01-08",,,"0.92","0.0","0.0",,"46","39","45"
"USC00044701","LAKEPORT, CA US","1970-01-09",,,"2.08","0.0","0.0",,"54","42","52"
"USC00044701","LAKEPORT, CA US","1970-01-10",,,"0.13","0.0","0.0",,"52","43","47"
"USC00044701","LAKEPORT, CA US","1970-01-11",,,"0.20","0.0","0.0",,"48","42","48"
"USC00044701","LAKEPORT, CA US","1970-01-12",,,"0.36","0.0","0.0",,"53","46","52"
"USC00044701","LAKEPORT, CA US","1970-01-13",,,"0.63","0.0","0.0",,"53","47","50"
"USC00044701","LAKEPORT, CA US","1970-01-14",,,"1.94","0.0","0.0",,"58","49","53"
"USC00044701","LAKEPORT, CA US","1970-01-15",,,"0.42","0.0","0.0",,"53","42","49"
"USC00044701","LAKEPORT, CA US","1970-01-16",,,"2.07","0.0","0.0",,"58","46","55"
"USC00044701","LAKEPORT, CA US","1970-01-17",,,"0.72","0.0","0.0",,"57","47","56"
"USC00044701","LAKEPORT, CA US","1970-01-18",,,"0.00","0.0","0.0",,"56","44","53"
"USC00044701","LAKEPORT, CA US","1970-01-19",,,"0.48","0.0","0.0",,"54","46","54"
"USC00044701","LAKEPORT, CA US","1970-01-20",,,"0.50","0.0","0.0",,"54","44","53"
"USC00044701","LAKEPORT, CA US","1970-01-21",,,"2.27","0.0","0.0",,"57","51","55"
"USC00044701","LAKEPORT, CA US","1970-01-22",,,"0.22","0.0","0.0",,"59","53","57"
"USC00044701","LAKEPORT, CA US","1970-01-23",,,"1.25","0.0","0.0",,"57","53","54"
"USC00044701","LAKEPORT, CA US","1970-01-24",,,"2.00","0.0","0.0",,"54","45","52"
"USC00044701","LAKEPORT, CA US","1970-01-25",,,"0.00","0.0","0.0",,"57","37","53"
"USC00044701","LAKEPORT, CA US","1970-01-26",,,"0.00","0.0","0.0",,"53","44","52"
"USC00044701","LAKEPORT, CA US","1970-01-27",,,"1.15","0.0","0.0",,"55","42","49"
"USC00044701","LAKEPORT, CA US","1970-01-28",,,"0.00","0.0","0.0",,"51","27","50"
"USC00044701","LAKEPORT, CA US","1970-01-29",,,"0.00","0.0","0.0",,"53","27","51"
"USC00044701","LAKEPORT, CA US","1970-01-30",,,"0.05","0.0","0.0",,"54","33","53"
"USC00044701","LAKEPORT, CA US","1970-01-31",,,"0.00","0.0","0.0",,"55","32","50"
"USC00044701","LAKEPORT, CA US","1970-02-01",,,"0.04","0.0","0.0",,"58","31","57"
"USC00044701","LAKEPORT, CA US","1970-02-02",,,"0.00","0.0","0.0",,"63","30","63"
"USC00044701","LAKEPORT, CA US","1970-02-03",,,"0.00","0.0","0.0",,"64","35","63"
"USC00044701","LAKEPORT, CA US","1970-02-04",,,"0.00","0.0","0.0",,"64","36","62"
"USC00044701","LAKEPORT, CA US","1970-02-05",,,"0.00","0.0","0.0",,"62","38","59"
"USC00044701","LAKEPORT, CA US","1970-02-06",,,"0.00","0.0","0.0",,"62","36","62"
"USC00044701","LAKEPORT, CA US","1970-02-07",,,"0.00","0.0","0.0",,"66","34","65"
"USC00044701","LAKEPORT, CA US","1970-02-08",,,"0.00","0.0","0.0",,"69","36","68"
"USC00044701","LAKEPORT, CA US","1970-02-09",,,"0.00","0.0","0.0",,"68","40","64"
"USC00044701","LAKEPORT, CA US","1970-02-10",,,"0.00","0.0","0.0",,"64","42","58"
"USC00044701","LAKEPORT, CA US","1970-02-11",,,"0.00","0.0","0.0",,"58","43","58"
"USC00044701","LAKEPORT, CA US","1970-02-12",,,"0.83","0.0","0.0",,"58","46","49"
"USC00044701","LAKEPORT, CA US","1970-02-13",,,"1.48","0.0","0.0",,"53","42","51"
"USC00044701","LAKEPORT, CA US","1970-02-14",,,"0.00","0.0","0.0",,"53","34","53"
"USC00044701","LAKEPORT, CA US","1970-02-15",,,"0.00","0.0","0.0",,"53","37","52"
"USC00044701","LAKEPORT, CA US","1970-02-16",,,"0.56","0.0","0.0",,"52","41","48"
"USC00044701","LAKEPORT, CA US","1970-02-17",,,"0.39","0.0","0.0",,"48","34","45"
"USC00044701","LAKEPORT, CA US","1970-02-18",,,"0.00","0.0","0.0",,"58","30","57"
"USC00044701","LAKEPORT, CA US","1970-02-19",,,"0.00","0.0","0.0",,"62","33","59"
"USC00044701","LAKEPORT, CA US","1970-02-20",,,"0.00","0.0","0.0",,"64","27","62"
"USC00044701","LAKEPORT, CA US","1970-02-21",,,"0.00","0.0","0.0",,"64","28","62"
"USC00044701","LAKEPORT, CA US","1970-02-22",,,"0.00","0.0","0.0",,"64","29","64"
"USC00044701","LAKEPORT, CA US","1970-02-23",,,"0.00","0.0","0.0",,"64","29","62"
"USC00044701","LAKEPORT, CA US","1970-02-24",,,"0.00","0.0","0.0",,"62","38","60"
"USC00044701","LAKEPORT, CA US","1970-02-25",,,"0.00","0.0","0.0",,"65","34","63"
