creek,location,date,time,no_fish_raw,no_fish
Cole,4300 block of Clark Dr,2005-03-06,,12,12
Cole,Maes,2005-03-06,7AM,0,0
Cole,Clark Dr,2005-03-06,7:02AM,0,0
Cole,Soda Bay Rd,2005-03-06,11:55AM,0,0
Cole,Clark Dr ,2005-03-06,2PM,18,18
Cole,Green Acres,2005-03-06,2PM,18,18
Cole,4300 block of Clark Dr,2005-03-07,10:30AM,71,71
Cole,Soda Bay Rd,2005-03-07,11:45AM,0,0
Cole,1000 Clark Drive,2005-03-08,,14,14
Cole,Clark Dr,2005-03-08,3:39PM,24,24
Cole,Soda Bay Rd,2005-03-09,,0,0
Cole,Clark Dr,2005-03-09,,25,25
Cole,Clark Dr,2005-03-09,5:22PM,15,15
Cole,mouth,2005-03-11,12:12PM,0,0
Cole,Clark Dr,2005-03-11,12:39PM,145,145
Cole,Clark Dr,2005-03-13,10AM,10,10
Cole,Clark Dr,2005-03-14,12:30PM,15,15
Cole,Clark Dr,2005-03-16,1:30PM,0,0
Cole,Clark Dr,2005-03-26,8:25AM,0,0
Copsey,Main St ,2005-02-21,3PM,0,0
Copsey,Copsey Creek Way,2005-03-12,10AM,2,2
Copsey,Copsey Creek Way,2005-03-14,,4,4
Forbes,Main St,2005-02-24,8:15AM,0,0
Hendricks,Hendricks Bridge,2005-03-09,11AM,15,15
Hendricks,McVeys Bridge,2005-03-10,11:30AM,15,15
Hendricks,"Hendricks Canyon, 100 yds from marker 9",2005-03-10,12PM,3,3
Hendricks,McVeys Bridge,2005-03-10,1:15PM,100+,100
Hendricks,McVeys bridge,2005-03-11,1:30PM,8,8
Hill,Merritt,2005-03-01,10AM,0,0
Hill,Soda Bay Rd,2005-03-14,1:10PM,0,0
Hill,Bell Hill Rd,2005-03-15,9:30AM,0,0
Hill,Holdenreid Rd,2005-04-15,,0,0
Kelsey,,NA,,,NA
Kelsey,,NA,,,NA
Kelsey,Quercus bridge (below),2005-02-02,7:40AM,0,0
Kelsey,"Soda Bay Rd, upstream",2005-02-02,7:45AM,0,0
Kelsey,Quercus bridge (below),2005-02-04,7:45AM,0,0
Kelsey,"Soda Bay Rd, upstream",2005-02-04,7:48AM,0,0
Kelsey,Quercus bridge (below),2005-02-07,7:40AM,0,0
Kelsey,"Soda Bay Rd, upstream",2005-02-07,7:42AM,0,0
Kelsey,Quercus bridge (below),2005-02-09,7:45AM,0,0
Kelsey,"Soda Bay Rd, upstream",2005-02-09,7:47AM,0,0
Kelsey,Quercus bridge (below),2005-02-14,7:45AM,0,0
Kelsey,"Soda Bay Rd, upstream",2005-02-14,7:48AM,0,0
Kelsey,Quercus bridge (below),2005-02-16,7:40AM,0,0
Kelsey,"Soda Bay Rd, upstream",2005-02-16,7:45AM,0,0
Kelsey,100 yds from CL,2005-02-20,1:22PM,1,1
Kelsey,Soda Bay Road,2005-02-20,3:40PM,0,0
Kelsey,Quercus bridge (below),2005-02-21,7:45AM,0,0
Kelsey,"Soda Bay Rd, upstream",2005-02-21,7:50AM,0,0
Kelsey,Quercus bridge (below),2005-02-23,7:42AM,0,0
Kelsey,"Soda Bay Rd, upstream",2005-02-23,7:50AM,0,0
Kelsey,Soda Bay Rd,2005-02-24,7:35AM,0,0
Kelsey,Quercus bridge (below),2005-02-25,7:45AM,20,20
Kelsey,"Soda Bay Rd, upstream",2005-02-25,7:50AM,20,20
Kelsey,Soda Bay Rd,2005-02-25,12PM,0,0
Kelsey,Quercus bridge (below),2005-03-01,7:40AM,0,0
Kelsey,"Soda Bay Rd, upstream",2005-03-01,7:45AM,0,0
Kelsey,Quercus bridge (below),2005-03-03,7:45AM,0,0
Kelsey,"Soda Bay Rd, upstream",2005-03-03,7:50AM,0,0
Kelsey,Soda Bay Rd,2005-03-04,7:20AM,14,14
Kelsey,Soda Bay Rd,2005-03-04,12:30PM,25,25
Kelsey,Gaddy Lane,2005-03-05,9:55AM,0,0
Kelsey,Soda Bay Rd,2005-03-05,11AM,15,15
Kelsey,Gaddy Lane,2005-03-05,11AM,0,0
Kelsey,Soda Bay Rd,2005-03-05,12PM,90,90
Kelsey,Highway 29,2005-03-06,6:40AM,0,0
Kelsey,Main St,2005-03-06,6:46AM,0,0
Kelsey,Merritt Rd,2005-03-06,6:52AM,0,0
Kelsey,Soda Bay Rd,2005-03-06,7:05AM,0,0
Kelsey,Soda Bay Rd,2005-03-06,11:30AM,0,0
Kelsey,Soda Bay Rd,2005-03-06,12PM,0,0
Kelsey,Soda Bay Rd,2005-03-06,12:10PM,0,0
Kelsey,Soda Bay Rd,2005-03-06,12:30PM,200,200
Kelsey,Soda Bay Rd,2005-03-06,1PM,150,150
Kelsey,Soda Bay Rd,2005-03-06,3PM,500+,500
Kelsey,Soda Bay Rd,2005-03-06,3PM,500+,500
Kelsey,Soda Bay Rd,2005-03-06,5PM,0,0
Kelsey,Quercus bridge (below),2005-03-07,7:40AM,1000,1000
Kelsey,"Soda Bay Rd, upstream",2005-03-07,7:45AM,200,200
Kelsey,Soda Bay Rd,2005-03-07,11:49AM,0,0
Kelsey,Main St,2005-03-07,12PM,0,0
Kelsey,Soda Bay Rd,2005-03-07,12:30PM,500,500
Kelsey,Merritt,2005-03-08,8:36AM,0,0
Kelsey,BVR crossing,2005-03-08,8:40AM,0,0
Kelsey,detention structure,2005-03-08,8:50AM,0,0
Kelsey,Soda Bay Rd,2005-03-08,8:55AM,500+,500
Kelsey,Soda Bay Rd,2005-03-08,11:15AM,2500-3000,2500
Kelsey,Soda Bay Rd,2005-03-08,11:15AM,2500-3000,2500
Kelsey,Gaddy Lane,2005-03-08,12:49PM,0,0
Kelsey,between the old bridge and upstream to the corner of ourproperty and that of Raymond Mostin,2005-03-08,2PM,300,300
Kelsey,"slough, CLSP",2005-03-08,3:33PM,5000+,5000
Kelsey,,2005-03-09,,,NA
Kelsey,Merritt Rd,2005-03-09,,0,0
Kelsey,Soda Bay Rd,2005-03-09,7AM,200+,200
Kelsey,Quercus bridge (below),2005-03-09,7:40AM,30,30
Kelsey,"Soda Bay Rd, upstream",2005-03-09,7:45AM,600,600
Kelsey,Soda Bay Rd,2005-03-09,10:50AM,500,500
Kelsey,Soda Bay Rd,2005-03-09,11AM,2000-2500,2000
Kelsey,,2005-03-09,11AM,,NA
Kelsey,Main St,2005-03-09,11AM,0,0
Kelsey,Soda Bay Rd,2005-03-09,11AM,2000-2500,2000
Kelsey,Eutenier property,2005-03-09,2PM,75,75
Kelsey,"slough, CLSP",2005-03-09,5:05PM,250,250
Kelsey,Gaddy Lane,2005-03-09,6PM,19,19
Kelsey,Cercus bridge,2005-03-10,10:15AM,50-75,50
Kelsey,downstream from detention structure,2005-03-10,10:40AM,400-600,400
Kelsey,Soda Bay Rd,2005-03-10,11AM,2000-2500,2000
Kelsey,"Overcus bridge, downstream",2005-03-10,11:15AM,400-600,400
Kelsey,"Overcus bridge, upstream",2005-03-10,11:20AM,60-70,60
Kelsey,300 down from detention structure,2005-03-10,11:30AM,400-600,400
Kelsey,above detention structure,2005-03-10,11:40AM,200-300,200
Kelsey,upstream from detention structure,2005-03-10,11:45AM,200-300,200
Kelsey,Soda Bay Rd,2005-03-10,4:20PM,300,300
Kelsey,Soda Bay Rd,2005-03-11,7:30AM,300-400,300
Kelsey,Quercus bridge (below),2005-03-11,7:40AM,200,200
Kelsey,"Soda Bay Rd, upstream",2005-03-11,7:45AM,500,500
Kelsey,Soda Bay Rd,2005-03-11,11AM,2000-2500,2000
Kelsey,Soda Bay Rd,2005-03-11,11AM,1500-2000,1500
Kelsey,Soda Bay Rd,2005-03-11,11:46AM,1500+,1500
Kelsey,"detention structure, upstream",2005-03-11,12:10PM,25,25
Kelsey,above detention structure,2005-03-11,12:12PM,2-3,2
Kelsey,200-300 down from detention structure,2005-03-11,12:15PM,2000-3000,2000
Kelsey,"detention structure, downstream",2005-03-11,12:15PM,1500-2000,1500
Kelsey,Merritt Rd,2005-03-11,12:20PM,2000-2500,2000
Kelsey,,2005-03-11,12:20PM,,NA
Kelsey,Merritt Rd,2005-03-11,12:20PM,2000-2500,2000
Kelsey,Gaddy Lane,2005-03-11,12:54PM,255,255
Kelsey,Gaddy Lane,2005-03-12,8:19AM,150,150
Kelsey,Soda Bay Road,2005-03-12,8:30AM,50+,50
Kelsey,Soda Bay Rd,2005-03-12,8:30AM,400+,400
Kelsey,Big Valley Rd,2005-03-12,8:45AM,400,400
Kelsey,"Soda Bay Rd, upstream",2005-03-12,8:45AM,600,600
Kelsey,detention structure,2005-03-12,9AM,50,50
Kelsey,Soda Bay Rd,2005-03-12,9AM,1000-1200,1000
Kelsey,below detention structure,2005-03-12,9:20AM,40+,40
Kelsey,Soda Bay Rd,2005-03-12,12PM,2000-2500,2000
Kelsey,Main St,2005-03-12,1:30PM,25,25
Kelsey,Merritt Rd,2005-03-12,2PM,500+,500
Kelsey,Soda Bay Rd,2005-03-12,3:30PM,1200,1200
Kelsey,,2005-03-13,9:20,21,21
Kelsey,,2005-03-13,3PM,,NA
Kelsey,Mostin Indian site,2005-03-13,3PM,400-500,400
Kelsey,Quercus bridge (below),2005-03-14,7:40AM,100,100
Kelsey,"Soda Bay Rd, upstream",2005-03-14,7:45AM,200,200
Kelsey,Main St,2005-03-14,8:10AM,0,0
Kelsey,Merritt Rd,2005-03-14,8:15AM,200,200
Kelsey,Mostin Indian site,2005-03-14,9AM,100,100
Kelsey,Gaddy Lane,2005-03-14,12:17PM,110,110
Kelsey,Soda Bay Rd,2005-03-14,1PM,1350,1350
Kelsey,Soda Bay Rd,2005-03-14,2:30PM,600-700,600
Kelsey,Main St,2005-03-15,9:45AM,0,0
Kelsey,Gaddy Lane,2005-03-15,9:56AM,100,100
Kelsey,Mostin Indian site,2005-03-15,11AM,900,900
Kelsey,Soda Bay Rd,2005-03-15,11:41AM,800,800
Kelsey,Soda Bay Rd,2005-03-16,12:10PM,400,400
Kelsey,Soda Bay Rd,2005-03-16,12:20PM,0,0
Kelsey,Gaddy Lane,2005-03-16,1:45PM,0,0
Kelsey,Mostin Indian site,2005-03-16,3PM,0,0
Kelsey,Mostin Indian site,2005-03-17,9:30AM,0,0
Kelsey,Soda Bay Rd,2005-03-18,12PM,0,0
Kelsey,,2005-03-18,12:15PM,,NA
Kelsey,Mostin Indian site,2005-03-18,12:15PM,0,0
Kelsey,Soda Bay Rd,2005-03-20,10:30AM,0,0
Kelsey,Quercus bridge (below),2005-03-21,7:45AM,0,0
Kelsey,"Soda Bay Rd, upstream",2005-03-21,7:45AM,0,0
Kelsey,Quercus bridge (below),2005-03-23,7:45AM,0,0
Kelsey,"Soda Bay Rd, upstream",2005-03-23,7:45AM,0,0
Kelsey,Soda Bay Rd,2005-03-25,1:30PM,0,0
Kelsey,Soda Bay Rd,2005-03-26,8:30AM,0,0
Kelsey,Quercus bridge (below),2005-03-29,7:40AM,0,0
Kelsey,"Soda Bay Rd, upstream",2005-03-29,7:40AM,0,0
Kelsey,Soda Bay Rd,2005-03-29,10:30AM,0,0
Kelsey,Soda Bay Rd,2005-03-30,8:30AM,0,0
Kelsey,Quercus bridge (below),2005-03-31,7:40AM,0,0
Kelsey,Quercus bridge (below),2005-04-04,7:40AM,0,0
Kelsey,Soda Bay Rd,2005-04-05,4:30PM,0,0
Kelsey,Quercus bridge (below),2005-04-06,7:45AM,0,0
Kelsey,Mostin Indian site,2005-04-06,2PM,0,0
Kelsey,Mostin Indian site,2005-04-06,2PM,5,5
Kelsey,Mostin Indian site,2005-04-07,,0,0
Kelsey,Mostin Indian site,2005-04-09,2:05 PM,0,0
Kelsey,Mostin Indian site,2005-04-10,3:30PM,0,0
Kelsey,Mostin Indian site,2005-04-13,11AM,0,0
Kelsey,Quercus bridge (below),2005-04-14,4:30PM,0,0
Kelsey,detention structure,2005-04-14,4:30PM,0,0
Kelsey,"Soda Bay Rd, upstream",2005-04-14,4:30PM,0,0
Kelsey,detention structure,2005-04-14,4:30PM,0,0
Kelsey,"Quercus bridge, upstream",2005-04-15,8:15AM,0,0
Kelsey,"Soda Bay Rd, upstream",2005-04-15,8:15AM,0,0
Kelsey,detention structure,2005-04-15,8:15AM,0,0
Kelsey,Soda Bay Rd,2005-04-18,,0,0
Kelsey,"Quercus bridge, upstream",2005-04-18,7:55AM,0,0
Kelsey,Lakeside Park,2005-04-18,9AM,3-4+,3
Kelsey,Mostin Indian site,2005-04-19,11AM,0,0
Kelsey," Quercus bridge, upstream",2005-04-20,7:40AM,0,0
Kelsey,Mostin Indian site,2005-04-20,2:15PM,0,0
Kelsey," Quercus bridge, upstream",2005-04-22,7:40AM,0,0
Kelsey,Mostin Indian site,2005-04-22,11AM,0,0
Kelsey," Quercus bridge, upstream",2005-04-25,7:40AM,0,0
Kelsey,Mostin Indian site,2005-04-26,12PM,0,0
Kelsey," Quercus bridge, upstream",2005-04-27,7:40AM,0,0
Kelsey,Mostin Indian site,2005-04-28,1:45PM,0,0
Kelsey," Quercus bridge, upstream",2005-05-02,7:40AM,0,0
Kelsey," Quercus bridge, upstream",2005-05-04,7:40AM,0,0
Kelsey," Quercus bridge, upstream",2005-05-06,7:40AM,0,0
Kelsey," Quercus bridge, upstream",2005-05-09,7:45AM,0,0
Lyons ditch,Clark Dr,2005-03-06,6:58AM,0,0
Lyons,Lakeshore Dr,2005-03-09,1PM,8,8
Manning,S Main & 175,2005-01-29,12PM,0,0
Manning,Soda Bay Road,2005-02-23,8:10AM,0,0
Manning,Soda Bay Rd,2005-02-24,8:10AM,0,0
Manning,Ackley,2005-03-01,10AM,0,0
Manning,"drainage ditch, S Main/175",2005-03-02,11:45AM,0,0
Manning,Soda Bay Rd,2005-03-06,7:27AM,0,0
Manning,Matthews,2005-03-06,8:05AM,0,0
Manning,Soda Bay Rd,2005-03-08,9:12AM,25,25
Manning,Ackley,2005-03-08,4PM,0,0
Manning,Matthews Rd,2005-03-09,12:30PM,0,0
Manning,Ackley Rd,2005-03-12,12PM,0,0
Manning,Soda Bay Rd,2005-03-12,12:30PM,25,25
Manning,Soda Bay Rd,2005-03-14,1:17PM,100,100
Manning,Ackley Rd,2005-04-15,,0,0
McGough Slough,Soda Bay Rd,2005-03-09,10:45AM,10,10
Middle,Rancheria Rd,2005-02-28,10AM,0,0
Middle,Rancheria Rd,2005-03-04,9AM,0,0
Middle,State Park,2005-03-04,12PM,0,0
Middle,Rancheria Rd,2005-03-07,11:30AM,0,0
Middle,Highway 20,2005-03-08,10:30AM,150,150
Middle,Rancheria Rd,2005-03-08,11:15AM,0,0
Middle,Highway 20,2005-03-09,,300,300
Middle,Highway 20,2005-03-09,10:15AM,200,200
Middle,Highway 20,2005-03-09,12:50PM,400+,400
Middle,Rancheria Rd,2005-03-09,2PM,50,50
Middle,Rancheria Rd,2005-04-12,,40,40
Middle,,2005-04-18,,0,0
Middle,,2005-04-19,,0,0
Morrison,Hwy 20,2005-02-20,11:30AM,0,0
Robinson,970 Mockingbird,2005-03-04,9:40AM,0,0
Robinson,1199 Mockingbird Lane,2005-03-06,,12,12
Robinson,Old Robinson rez,2005-03-06,3PM,0,0
Robinson,rez,2005-03-07,12PM,30,30
Robinson,1199 Mockingbird Lane,2005-03-07,6PM,50,50
Robinson,1199 Mockingbird Lane,2005-03-08,8AM,50,50
Robinson,rez,2005-03-09,10:45AM,30,30
Robinson,Old Reservation bridge,2005-04-18,9:30,25,25
Robinson,,2005-04-19,,0,0
Schindler,Hwy 20 to Konocti View,2005-01-24,4PM,0,0
Schindler,Hwy 20,2005-02-06,10AM,0,0
Schindler,Hwy 20,2005-02-19,1PM,0,0
Schindler,Hwy 20,2005-03-01,2:30PM,0,0
Schindler,Lake St,2005-03-01,3PM,0,0
Schindler,Highway 20,2005-03-09,,0,0
Schindler,4th St,2005-03-09,10:30AM,0,0
Scotts,bridge n of Kellys Kampground ,2005-02-06,2PM,40,40
Scotts,Scotts Creek Rd,2005-03-04,2:30PM,0,0
Scotts ,tributary along Eickhoff Rd,2005-03-08,7:30PM,100+,100
Scotts,6210 SVR,2005-03-13,4PM,30,30
Scotts,5880 SVR,2005-03-14,,0,0
Scotts,Door Creek,2005-03-14,,0,0
Scotts,,2005-04-24,,0,0
Seigler,Main St,2005-02-26,3:20PM,0,0
Seigler,Main St,2005-03-05,12:30PM,0,0
Seigler ,Jessie St,2005-03-08,10AM,0,0
Seigler ,Perini Rd,2005-03-10,5:30PM,0,0
Seigler,Perini Rd,2005-03-10,5:30PM,0,0
Seigler ,Jessie St,2005-03-11,11AM,0,0
Seigler,Anderson Marsh,2005-03-12,7:30AM,0,0
Seigler,Anderson Marsh,2005-03-12,10AM,0,0
Seigler ,Jessie St,2005-03-13,12:30PM,0,0
Seigler,Jessie St,2005-03-14,11:30AM,0,0
Seigler ,Jessie St,2005-03-15,9AM,0,0
Seigler,Anderson Marsh,2005-03-16,6PM,0,0
Seigler,Perini Rd,2005-03-17,9AM,0,0
Seigler,Perini Rd,2005-03-18,10AM,0,0
Seigler,Perini Rd,2005-03-18,11:30AM,0,0
Seigler,Perini Rd,2005-03-22,4:45PM,0,0
Seigler,Bryant St,2005-03-26,8:15AM,0,0
Seigler,Perini Rd,2005-04-14,3:30PM,0,0
Thompson,Matthews Rd,2005-03-15,9:15AM,0,0
